cluster,palabra,score,k
2,recursos,0.634400974093704,6
2,naturales,0.5775235387827183,6
2,proyecto,0.5775235387827183,6
2,biological,0.5332912607606747,6
2,chile,0.2705596112821763,6
3,per,0.45657382613059905,6
3,genes,0.32561913629385386,6
3,bacteria,0.2710868817944938,6
3,open,0.2548525745175712,6
3,media,0.23580469022706732,6
3,humedales,0.23245899822607546,6
3,medios,0.2261392741512826,6
3,turberas,0.20949752203762678,6
3,mass,0.20627469854203898,6
3,hábitat,0.20195051008637804,6
3,balance,0.20115267403119966,6
3,paisaje,0.2005495838965722,6
3,educación,0.20025231189850773,6
3,artículo,0.19096877693611772,6
3,humedal,0.176291398195169,6
4,turberas,0.35212345594072286,6
4,aves,0.2958028907981505,6
4,nutrientes,0.2827742203865523,6
4,carbono,0.23132935855275047,6
4,incendios,0.20648594444377044,6
4,biocultural,0.18517564224822372,6
4,ríos,0.1809916007095015,6
4,biomasa,0.18002153386847372,6
4,plantas,0.16641993868173252,6
4,precipitación,0.16598331854058276,6
4,genes,0.16551588229692096,6
4,fuego,0.1619258022110971,6
4,poblaciones,0.1609313598625431,6
4,studies,0.1536342912341989,6
4,bosques,0.15181576139956757,6
5,cal,0.3020547902773444,6
5,media,0.2567398519213499,6
5,soc,0.2554073072349243,6
5,fog,0.23847451356932442,6
5,seed,0.23525507600464735,6
5,bosque,0.22385712245419068,6
5,innovation,0.21464740893749862,6
5,nui,0.20239827546404196,6
5,rapa,0.19684147100914468,6
5,delta,0.19677607973676237,6
5,governance,0.18218689439930172,6
5,kelp,0.1798372449220426,6
5,biocultural,0.17972650719353456,6
5,fire,0.17914664978338218,6
5,wildfire,0.1693295697847793,6
6,memoria,1.7854562890152625,6
6,título,1.6878019128548798,6
6,ambiental,1.3576232339864025,6
6,ambiente,0.813560742176373,6
6,medio,0.6938375980106276,6
1,cal,0.35828248194287354,7
1,soc,0.2554073072349243,7
1,fog,0.23847451356932442,7
1,delta,0.23620964384358742,7
1,fatty,0.20847907052664366,7
1,classification,0.19987062935843591,7
1,chapter,0.1824520125206827,7
1,upwelling,0.18173937178521168,7
1,predators,0.1653006837892052,7
1,metal,0.15657848810017386,7
1,removal,0.1532226341635397,7
1,gas,0.15135179332602303,7
1,lakes,0.14387291104517855,7
1,seed,0.142683164633502,7
1,fire,0.1404314356708042,7
2,sistemas,1.1591288400065671,7
2,ambientales,0.9829537730514366,7
2,universidad,0.9358950845065818,7
2,molecular,0.90788429996174,7
2,diseño,0.8605738000521079,7
2,paisaje,0.8399008710908296,7
2,tesis,0.8168024636946642,7
2,urbano,0.678372869316308,7
2,ecology,0.6424557539212921,7
2,recursos,0.634400974093704,7
2,naturales,0.5775235387827183,7
2,proyecto,0.5775235387827183,7
2,biological,0.5332912607606747,7
2,chile,0.2705596112821763,7
3,turberas,0.31408987356656387,7
3,aves,0.26379629033957147,7
3,open,0.2548525745175712,7
3,genes,0.25446213451743926,7
3,per,0.2512591810467133,7
3,medios,0.2261392741512826,7
3,humedales,0.2159415342342684,7
3,bacteria,0.21499326458380352,7
3,nutrientes,0.2104296174866451,7
3,mass,0.20627469854203898,7
3,artículo,0.1870171977318776,7
3,carbono,0.18224833648763486,7
3,incendios,0.18083698907110002,7
3,media,0.1787311223698035,7
