id,cluster,k
ANID_a3dca77714b757527e81a3c59e7cf14f,1,4
ANID_a4c6a0642e9ddef6471585da99ceff5b,1,4
ANID_b2b83c83b2ba5ffc7ed4737bc7f426d8,3,4
ANID_b4db55af3ae3ceb25b7332ca56228e50,1,4
ANID_b7e18cd05742fc0cb54b190612db770f,1,4
ANID_bccb2d66df901203b4246ccc8f118c95,1,4
ANID_c0925d1edfc5bcece55ee4104ae98af9,3,4
ANID_c34a0efa36bb918310999750ba773a79,1,4
ANID_c7a94e75a7156a994c5e2dc82f1dbf56,1,4
ANID_c7c0b80221d05968190764e831bebe67,3,4
ANID_c941dbec3a655fe22132db8919d45b17,3,4
ANID_cb87fb19f93773e6b9eef61f90be742c,3,4
ANID_d6ad8ec76a565696785e21c03792cc8b,1,4
ANID_d7d45b77fd926c55de777ef4ef7555cc,3,4
ANID_dab01b132f58ad5e7a9f4abc9b00fde1,1,4
ANID_db7ecafdc35a7ed0e2792137ad97128a,3,4
ANID_dbb0ceb67fe7c0cda47970c7963341b6,3,4
ANID_dbd6920689ef4012f944635058c29d23,1,4
ANID_de7ed6e2238249ef0ddd66cb227ab032,1,4
ANID_dff7c6b7f97f5231ae10adfe0edd7203,3,4
ANID_e0c0f82b2311038dfebf54002ec06dc8,3,4
ANID_e261b377bb742dbd86a9d8b77dfb162b,3,4
ANID_e55c7c7e26a814d871429ddcc8af1ebf,3,4
ANID_e6411a030c5904ea99ce1bda5b3800bd,1,4
ANID_e8bff29680ab169c7efa911460fde389,1,4
ANID_ed669e84fd0fcdc9343b4453b7d9178c,1,4
ANID_ed7d56de0ae729fdaeb6a09e9582da53,1,4
ANID_ed9b6f1dfc76f56f94f99c6cf9756cb2,3,4
ANID_ef413a30a988e222f2e512e025b75cf2,3,4
ANID_f54cc29aec6fded06506d2cf3be315a0,1,4
ANID_f5522d3a8981e93245725c8374525226,3,4
ANID_f77a922f22b3f88276e58dbb89ef9a6a,3,4
ANID_fb3172ee2117fd2cc47f7f1bb055436a,3,4
ANID_ff2c32142b129a447c0cbf37575eebc9,3,4
PUC_009f87c6c37fa4e1b8611ab3f0a45fd2,3,4
PUC_01276afa8e4e67071d27b55924ab5f60,3,4
PUC_01bd969bcdaa44563646fd5465010e90,3,4
PUC_02193ddf98c3ab350ef422450ec1c9e5,3,4
PUC_0265012e3b433cd72dccd985908b6303,3,4
PUC_03ad6aa20b42235f02398c586f7209f8,3,4
PUC_03c04db8e06d14c605b5fda431f11a02,3,4
PUC_047879722b8e4234ca4e5f2ebc9ed358,3,4
PUC_05ad9c385ec566c61e2efa60e1980a1b,3,4
PUC_05b475c1cc99e6b1f1f6ebf00866757a,3,4
PUC_05b884bfee8dca56b6031cecbdd056ff,3,4
PUC_05ee0758da507f7e23d289ea4b3f42a1,3,4
PUC_062f7196789b42017568cae8c169692d,1,4
PUC_065358c681fc311bfda51d15112ca65c,2,4
PUC_06fc7f01b043684ee5a1c575ab63a5ef,3,4
PUC_074ff5e7df7a68fe5e235931485d42c9,3,4
PUC_09105729e4deaf3da365a3378376fb32,3,4
PUC_0949749ab358f0e509c0fe86d704139b,3,4
PUC_09869b10abdcdd0e9a2696ef7fb19453,3,4
PUC_0a21d0e01efda348cd415107ef97494b,2,4
PUC_0a32bfcfac40a780e0171ae0476609f3,3,4
PUC_0b9d70528419b05c80c124d1cf604ad2,3,4
PUC_0c66ac78084699dac3194c6c5497d9b3,3,4
PUC_0cd6a0ea80e13f0780974482abae8d32,3,4
PUC_0db92961fb86f3f515dde20bb65884ec,3,4
PUC_0de2ea7a1b90da8409b9b79ce3dc5d3e,3,4
PUC_0e7c457f4880b0c46ebc3affeca6915f,3,4
PUC_0eea7251085cb1f64c9587988d1520b1,3,4
PUC_0fde92dcab52476c1da26edfc149a50b,3,4
PUC_0fdf94096bcf8657bfa2702f911a483f,3,4
PUC_11bcc00fa19bc69e064f58c17198bca4,3,4
PUC_12a6be75c8b6f4b1777ff967d13fcc3e,3,4
PUC_12f468766db4f381bc852516f6e4697e,3,4
PUC_1386d4febd971011e621feedf863af73,3,4
PUC_13ad4d28f5cbc5ffdd465ef6bbc5cd2d,3,4
PUC_142bc73c24e43381cfe07771cdbe28a6,3,4
PUC_14ce5f803ebf9d6d2d9c8ff329f825b0,3,4
PUC_167a75a64af733a577df9a07ad00e426,3,4
PUC_19cd89d5dac2074165504adae456810b,3,4
PUC_1aa2816f73bd28c6f84a8c41fbe89341,3,4
PUC_1b62d4ea7e8946490a5cd9fc509b234b,3,4
PUC_1bd560d1e5a61f6ccc08296a63892e63,3,4
PUC_1c74eebcd1d740bf6b42e043b15201c9,1,4
PUC_1d01c6c0cf1815a8d3ac56f7d03ef890,3,4
PUC_1d9e385cc80f57b1dabb5228593a9548,3,4
PUC_1df04718492d1412f572e09bab512f69,3,4
PUC_1e1f6b8e9bb674ae61b31e72a7807df7,3,4
PUC_1e315af5beabd11b2ccabb423a11a0a0,3,4
PUC_1e841cda9c15b47e2b4f50163ebbe5b8,3,4
PUC_1eb3820f3d9c38bb10c690a6c92e6c3c,3,4
PUC_1ed77b1e31e3546a069827aab37089e7,1,4
PUC_2008dc342d3245f36f18cd2e2bf47cab,3,4
PUC_2042d28da2f6ab9b7c578d60f34d8976,3,4
PUC_20aec2aaa2385b1cea9daac8791b0131,3,4
PUC_211b8278c54fb80cb87c9847a97ce5df,3,4
PUC_22041600cdb623f663bd379caf58e722,3,4
PUC_2248450465673f4a343ba1928c488178,3,4
PUC_2275b9769ab99f7d26509690d3a36472,3,4
PUC_22b31a32e1e8fa54d8e66f6c475e35a9,3,4
PUC_22e0352b0a3bb0873f0719ff59aa18a2,3,4
PUC_23625eb2c8bec980a5559ed097d5dd2e,3,4
PUC_236ba762e2705248ce098be172d60353,3,4
PUC_239c1c609aa8ee6767f53613ff50a5cc,3,4
PUC_23b83d53b3c28a5448b2ccc21fa9edd5,3,4
PUC_2405309fd29181a0b3ab5028a9865428,1,4
PUC_2644b7d83cb6981ba71330acb62780f2,3,4
PUC_26d0b58b04eaec48f7ce87fdc21b9a81,3,4
PUC_27c6e66eca012f611d0b9c6730c42e87,3,4
PUC_2855db7893f2c492f1bcf296e62f3345,3,4
PUC_286184a6111e68e096ebcf641454f124,3,4
PUC_286f36d9d9b958b6a430e2d3db08dd3f,3,4
PUC_2885485f21a346b5d48d03e741b00559,3,4
PUC_28b2e8e1be5cc2c2ffde733e926d7b3d,3,4
PUC_296ae46b9b5bdf5e5a609430471b16aa,3,4
PUC_298f2d0b0b5fa8154bc006daabb2ceb1,3,4
PUC_2a3492fae3495f3ba7094f2973f52fdc,3,4
PUC_2b0d72dfde132b3ed8e08cadd6325ce2,3,4
PUC_2b3cbdecf23a8967090529d9beaccfaf,3,4
PUC_2c37e20fe0f520b73836d2ae7c3bca54,3,4
PUC_2cf19007c2cc47619acec75bf6a3ce09,2,4
PUC_2cffbd3c5a34d8a583026e0b188567fb,3,4
PUC_2dbbc613d1d5ada87d0d59d37ebfc2d6,3,4
PUC_2e9ccc17ea0912ade3b6f8d31f34a33d,3,4
PUC_2ee7426712a6e2b30e7333ae4466c8d8,3,4
PUC_2f22f51a77d186b879cc3d81da468fac,3,4
PUC_2f87b11e1bbc6053b01b004bc9a12b1c,3,4
PUC_300f1284909190c3aef3765716f4b29d,3,4
PUC_303a10946d064c9ac804271cd9b7106a,3,4
PUC_31b5fb150006a2f94b3da04bd3952172,3,4
PUC_32bd6cd9b61a5bf48eec15acd0eaaa1a,3,4
PUC_337765fc5942c6cf3fc7a8d1a7fa27bd,3,4
PUC_340811275bd996cd295eacc362eff5ab,3,4
PUC_345e5abcaa9f8d375eac42344d5f3ac1,3,4
PUC_34689fc58c5ed3d123f5da2702b284be,3,4
PUC_347a7b2b33e97d4a90db5d234f5ca5b5,3,4
PUC_34caf3dd62071a032e2346f918b4c557,3,4
PUC_3547eff2784a0a1143cdc4a1f3ce3a28,3,4
PUC_366b4b613d75400e7386b3ddfe23aa4d,3,4
PUC_376f8931cd955c285f1de61d777fc2da,3,4
PUC_386d02fb65abd8bf9a1878ea072acc47,3,4
PUC_3907b8ffeb2e6348132e273edf3838dc,3,4
PUC_392d16984280124b206a09d4489273f6,3,4
PUC_3932f57b6de1fb58392fee0e6208c1f8,3,4
PUC_3940051a89da57f9d137fd00d8165119,3,4
PUC_396bf7494d4e8f8d8e52a434e0235032,3,4
PUC_3ac4c32a5fa78efbfedb49eca0e8d9d9,3,4
PUC_3ad1bdd8343de7447e3a60def348bf4e,3,4
PUC_3c2a4fe4471faa5a8eb3c808b48f932b,3,4
PUC_3c498b0e30b6b03b147f78360e8264f3,3,4
PUC_3c76d8df0f83784bf6911f3e1a1c286d,1,4
PUC_3cccfddd2ba4f3d5b1292d361ddaa92c,3,4
PUC_3d7ed903c4eaa9936384473f91dbdaa4,3,4
PUC_3e11fc1ff48e21b9fcb0bcc0c3e18d12,2,4
PUC_3e2560d6b64ca3973a7ad8dc0a4d275a,3,4
PUC_3ed8a429dd8afba4496c4ca767a565d9,3,4
PUC_3f1691615a5b833c7da3d9af8470c1ae,3,4
PUC_3f2f8039a75079615480bad3747dcd9d,2,4
PUC_3ffea4c65bcebfac5d52d61f8255a47b,2,4
PUC_4004e86e7e04b565b8f8c0e3890c8ca6,3,4
PUC_405d54969c6b9a40a708793b1f5c8c7e,3,4
PUC_40640db7d784f481cbf7d6af1a2ddece,1,4
PUC_4139f8a10d6e7b3babadec320f84e1cf,3,4
PUC_421e326f1a86d4f6853ce77ed63f2402,3,4
PUC_423ca7a61b810c54f1b179805a5ce3f8,3,4
PUC_431968766c9b27335948de33dc5bd048,3,4
PUC_437a55e22a5fbedb760f0c87439f0a68,3,4
PUC_4390dd4eb323747a15a8ff7c2fed50c7,3,4
PUC_43b49ec956a5a0b1107bba4a84a5a73a,3,4
PUC_43c1f33b0ce3b233fe593c52f96919fa,1,4
PUC_4474fa324ce14ae5cf5b742af70238f0,3,4
PUC_44a834054e00aa07dcc619306405cca1,3,4
PUC_45341151eb4d0fa5bfa4ac21cf9e492c,3,4
PUC_455615cb02e6da1f09c251667cfb6cf9,1,4
PUC_45df9f9f990d161898581f50efbd018b,3,4
PUC_460dad84b53c38db2d75e5ce16d9fcf5,3,4
PUC_46b109a32a8dae1479eab45dd06267db,3,4
PUC_47da654759fb0b870dd2551218e77ca3,2,4
PUC_47f2fb0937197b8298f1e099e9a36a2f,3,4
PUC_47f381eace28f354795de360acd4a055,1,4
PUC_4978da6d93c2f33fd5432a887d6f6d11,3,4
PUC_49b720281db14eafe64538c09c569c62,3,4
PUC_49fd405534ca74dadfa6359c2ae64d53,3,4
PUC_4ada0f1d0b05d294eeb69e045a546448,3,4
PUC_4b1871268529df9c9ae0f179b0af7208,3,4
PUC_4b70c0aeb5e6e7ce19ec1775faf938ba,3,4
PUC_4bbd72e30b7444d5bce6682d3d5dbdf6,3,4
PUC_4c5b26df8413b662b8caba916db99b89,3,4
PUC_4c8a64912886a4775c2b9054ab6639a5,2,4
PUC_4d60df4ca4f86b5bc2618dd86dabad93,3,4
PUC_4d7a88a69cb6034c14182f8b79d4a237,3,4
PUC_4d9312b5037589b33545d2de1214269c,3,4
PUC_4e9f878a93fe582f95b97c875a3330f0,3,4
PUC_4eba189f7b2c1f7e5bf4a523b6d66ca6,3,4
PUC_4fbc8946f83f1bd3a515e02cc9499892,3,4
PUC_4fbe58820bfcb545ee13427fdb2d0e9e,1,4
PUC_4fe40dd9a2ad8bd91e397c94c184ce66,3,4
PUC_501f342d3a469a2e5312c417704dd807,3,4
PUC_50219f22f2e635426aca223567341b1b,1,4
PUC_50261b0684ebc43e718acd5bef27460d,3,4
PUC_517910a35ad84d493297eee2416072df,3,4
PUC_51b607ec0f92465df19ddf230fefa079,3,4
PUC_51c9bed2e1dd665e403699c5ce0d9fc7,3,4
PUC_51ffb2d962bc0765bcbd5e60eefe2b16,3,4
PUC_5281bdb6bb38d5a7d9d31f3064252b3d,3,4
PUC_52ffa381cd2b3ac3fd73243bd9bfcce7,3,4
PUC_5343e2a8ebcde4c4c3c60fbb9db5a2f3,3,4
PUC_53ca42986c05f7f9a7ae56ca910f6643,3,4
PUC_5431a273f1c40985f31b0b1722402082,3,4
PUC_5434ce09b64e1a48452d4269b6e047ae,3,4
PUC_544da090bd5cba05d0fff7aeb629e156,3,4
PUC_54ad7ef53d2e7af2fc600ec41c76e24e,2,4
PUC_5502ce1493ec0de143619085572267b7,3,4
PUC_56677c3cebc789d814cb468cd31d31de,3,4
PUC_5701db56b3320a128d29f4690c4c90fd,2,4
PUC_57e9e27eef17bbb23fde9f310c8d02bb,3,4
PUC_5857474561901b07ab9fe7105c9abc27,2,4
PUC_5864c0ba8146b5fda228d0c0942188d8,3,4
PUC_58a16bc22e5a7a6cfdca6275d7f8d369,2,4
PUC_58b687940b2cc7eb8c285a07508836a7,3,4
PUC_58c7821e49566f3ce32a7d53a005103a,3,4
PUC_59447429442f2ac8280fbc33ce11c469,3,4
PUC_5ac744d91b106205577f60aa5ed8ef4f,3,4
PUC_5bcbcebdee5727e3923c974220a5a5d9,3,4
PUC_5c5edeeae373c8c1cf5002d3142f8530,3,4
PUC_5c729fa4f24ce247aa75e2d6d7806580,3,4
PUC_5ca184f9e74070cd9ce05091d37e45a9,3,4
PUC_5db1805aa00eaf27baed4cddcccd0abb,3,4
PUC_5e8689d021e908ff48232ec942f9e2f8,1,4
PUC_5fdcb368617a8e535f37f326f4c3ffde,3,4
PUC_60ee8a72274e272453b22b090f1fe48c,3,4
PUC_61eafe8ef5f81840dae6faaef29e55e7,3,4
PUC_62ada13edd2d41f5a46f824a4f4c649f,3,4
PUC_63122ff25f78f2179a8e21cc9a2dc1d5,1,4
PUC_63985e534f0ededf8b8a25f008051de6,3,4
